"dns","ip","ports","mac"
"mthlni2.helena.mpqhf.org; mpqhfex2.mpqhf.org","10.11.7.14","80; 443; 135; 3389; (ping)","70-5A-0F-37-8B-8C; 38-14-28-E6-86-E9; 40-B0-34-1B-74-9A; 00-50-56-8C-26-28"
"marsdevdb.helena.mpqhf.org","10.11.7.188","80; 135; 3389; (ping)","00-50-56-8C-FA-75"
"mt-lpt-6345.helena.mpqhf.org","10.11.7.114","135; 3389; (ping)","38-14-28-BF-7F-C7"
"trendmicro.helena.mpqhf.org","10.11.7.27","80; 135; 3389; (ping)","00-50-56-8C-C5-0A"
"mt-dsk-5628.helena.mpqhf.org","10.11.7.123","135; 3389; (ping)","DC-4A-3E-8F-04-3E"
"NPIFA80E8","10.11.7.56","80; 443; (ping)","00-11-85-FA-80-E8"
"marstest.mpqhf.org; marstest.mpqhf.org","10.11.7.30","443; 135; 3389; (ping)","00-50-56-93-6F-48"
"itvm2.helena.mpqhf.org","10.11.7.138","135; 3389; (ping)","00-50-56-93-13-AA"
"mars.mpqhf.org; mars.mpqhf.org","10.11.7.29","443; 135; 3389; (ping)","00-50-56-93-01-D4"
"","10.11.7.255","(ping)","FF-FF-FF-FF-FF-FF"
"mt-dsk-5746.helena.mpqhf.org","10.11.7.144","135; 3389; (ping)","40-B0-34-1B-74-9A"
"mt-lpt-6360.helena.mpqhf.org","10.11.7.147","135; 3389; (ping)","38-14-28-E6-86-E9"
"sqltest1.helena.mpqhf.org","10.11.7.33","80; 135; 3389; (ping)","00-50-56-93-18-62"
"","255.255.255.255","(ping)","FF-FF-FF-FF-FF-FF; FF-FF-FF-FF-FF-FF"
"mt-dsk-5335.helena.mpqhf.org","10.11.7.124","135; (ping)","C4-34-6B-4F-DF-F8"
"mt-dsk-5502.helena.mpqhf.org","10.11.7.104","135; (ping)","EC-B1-D7-5A-F2-5C"
"mt-lpt-6449.helena.mpqhf.org","10.11.7.112","135; (ping)","08-92-04-59-D2-AF"
"mt-lpt-6352.helena.mpqhf.org","10.11.7.128","135; (ping)","38-14-28-E3-29-8A"
"mt-lpt-6351.helena.mpqhf.org","10.11.7.120","135; (ping)","38-87-D5-F8-EE-86"
"fs1-clu-new.helena.mpqhf.org","10.11.7.25","135; 3389; (ping)","FF-FF-FF-FF-FF-FF; CC-33-31-FB-E4-E8; 00-50-56-93-57-A2"
"mt-dsk-5501.helena.mpqhf.org","10.11.7.116","135; (ping)","EC-B1-D7-5E-8D-CE"
"mt-dsk-5234.helena.mpqhf.org","10.11.7.134","135; (ping)","2C-44-FD-36-A9-8D"
"marspd2ap.helena.mpqhf.org","10.11.7.31","135; 3389; (ping)","00-50-56-93-A3-D8"
"","10.11.7.242","22; 80; 443; (ping)","88-6F-D4-F0-4D-05"
"backupexec02.helena.mpqhf.org","10.11.7.46","135; 3389; (ping)","B8-CA-3A-70-F7-4C"
"","10.11.7.241","22; 80; 443; (ping)","88-6F-D4-F0-4C-F8"
"marstst2db.helena.mpqhf.org","10.11.7.44","135; 3389; (ping)","00-50-56-93-D9-9A"
"fs2-clu-new.helena.mpqhf.org","10.11.7.26","135; 3389; (ping)","00-50-56-93-19-B7"
"mt-dsk-5657.helena.mpqhf.org","10.11.7.148","135; (ping)","70-5A-0F-37-8B-8C"
"mt-lpt-6252.helena.mpqhf.org","10.11.7.152","135; (ping)","6C-02-E0-AD-62-C4"
"mt-lpt-6414.helena.mpqhf.org","10.11.7.174","135; (ping)","E0-70-EA-D4-A5-CB"
"marspddb.helena.mpqhf.org","10.11.7.42","135; 3389; (ping)","00-0C-29-FB-6B-06"
"mt-lpt-5660.helena.mpqhf.org","10.11.7.133","135; (ping)","98-E7-F4-F4-F0-1D"
"mt-lpt-6005.helena.mpqhf.org","10.11.7.126","135; (ping)","80-CE-62-A3-10-54"
